question,answer,category
How do I contact the delivery partner?,"You can contact the delivery partner directly through their official websites. Some of the leading partners include E-Kart (www.ekartlogistics.com), Gati (www.gati.com), Delhivery (www.delhivery.com), Blue Dart (www.bluedarttrackings.in), Ecom Express (www.ecomexpress.in), DotZot (www.dotzot.in), and Speed Post – India Post (www.indiapost.gov.in).",Delivery
Why was my order not delivered/delivery attempt unsuccessful?,"An order may remain undelivered for several reasons, such as an incorrect or outdated address, difficulty reading the address label, or the delivery partner mistakenly leaving the package at a different location. Undelivered orders can also result from failed delivery attempts if no one is available to receive the package, as most partners try multiple times before returning it to the seller. Packages damaged during transit are also sent back without delivery, and logistical issues like heavy rain, vehicle breakdowns, or local restrictions can delay or prevent delivery. Delivery partners generally make up to three attempts before returning the order to the seller.",Delivery
What do the different order statuses in 'My Orders' mean?,"Order statuses indicate the progress of your purchase. Approved means the seller has confirmed your order. Ready to Ship means the item is packed and waiting for pickup by the delivery partner. Dispatched indicates the item has been picked up and is on its way to a logistics facility. Shipped means it is en route to your location. Out for delivery means a delivery executive is heading to deliver your order. Delivered confirms the item has reached you. Return requested means you have initiated a return that is pending seller approval, and Returned indicates the item has been sent back for a refund, replacement, or exchange.",Delivery
Can I get my orders delivered at a specific time?,"Orders for a few items from certain categories like large appliances, furniture, and exercise & fitness categories can be delivered at specific time slots by delivery partners. You can choose your preferred time slot from the list of available ones while placing your order. For other items, delivery partners currently do not support delivery at a specific time due to their varying delivery schedules. However, once the order is out for delivery, you can contact the delivery executive using the contact details available on the 'Orders' page.",Delivery
Can I club my orders from different sellers to be delivered together?,"Currently, there is no option to club orders from different sellers to be delivered together as sellers could be located in different locations and the delivery timelines would vary based on the delivery partner. To ensure your items reach you at the earliest, each seller ships their products as per their individual timelines.",Delivery
Will the delivery be tried again if I'm not able to collect my order the first time?,"Delivery partners make sure that the delivery is re-attempted the next working day if you can't collect your order the first time. Overall, they make a total of 3 attempts to deliver an order.",Delivery
Why are faster delivery options not available at my location?,"Faster delivery options may not be available at your location due to delivery partner related reasons, but we're trying to expand our services to include more places. Stay tuned for updates!",Delivery
Why are faster delivery options not available at my location?,"Faster delivery options may not be available at your location due to delivery partner related reasons, but we're trying to expand our services to include more places. Stay tuned for updates!",Delivery
Why did I receive a new delivery date for my order on the day my order was initially supposed to be delivered?,A new delivery date is provided for certain orders that cannot be delivered by the initial delivery date due to any unexpected issues faced by the delivery partner.,Delivery
"I can see that order for a new item has been placed automatically for my account, why?","If your order was lost or damaged during transit, the seller will replace the item(s) and ship them again with a new delivery date. Any offers or promotions from the original order will still apply.",Delivery
How do I track my order?,"Once your order gets shipped, a tracking ID gets generated. You can find this in the 'Orders' section of your app. If your order has been shipped with Ekart, you can use the tracking ID to find out where your order is currently at by clicking here: ekartlogistics.com  . Similarly, for other delivery partners, you can use the respective tracking ID to track your order on that delivery partner's website.",Delivery
Why are the Delivery Executive details invalid?,"For Ekart orders, once your order is out for delivery, the delivery executive’s details will be available on the Order Tracking page, while for other delivery partners, the details will be shared with you via SMS. If the delivery executive is not answering your call, they may be driving and will contact you if needed.",Delivery
Can I modify/change the specification for the ordered product without cancelling it?,"No, once an order is placed the specification of the product can not be modified.",Cancellation
Why i am getting charged for cancellation? / What is cancellation Fee?,"Cancellation fee will be applied or charged only if an eligible order is cancelled after 24 hours of placing.The reason is to compensate for the time and effort incurred in processing the order by the seller. Also, to compensate our logistics partner for incurring a cost when they ship the order, if the order is shipped. Note: Customer can find this information under the order details by logging into his/her Flipkart account.",Cancellation
I see the 'Cancel' button but I can't click on it. Why?,"A greyed-out Cancel button usually means that the item is already out for delivery or has been delivered, the product is non-refundable—such as digital items like gift cards—or the cancellation window has passed and doorstep cancellations may involve additional fees. Always check the product’s cancellation policy before purchasing for clarity.",Cancellation
How long does it take to cancel an order?,"If the seller hasn’t shipped the order, it will be canceled immediately, but if it has already been shipped, the cancellation will be completed once the delivery partner confirms the return. In some cases, a cancellation fee may apply if the order is canceled after the allowed time. Cancellation windows differ by category, and doorstep cancellations may also involve additional charges, so it’s best to check the product page for specific details.",Cancellation
Can I reinstate a cancelled order?,"Once an order is cancelled, it cannot be processed or delivered. It is recommended that you place a new order based on availability.Once an order is cancelled, it cannot be processed or delivered. It is recommended that you place a new order based on availability.To locate the product quickly, visit the 'Orders' section of your Flipkart account and select 'Buy now'.",Cancellation
Where can I find the free cancellation period once an order is placed?,"After placing an order, you can find the free cancellation period on the 'Order Details' page.",Cancellation
Why am I not getting the return option?,"This may happen if the product is already outside the return policy period or if it belongs to a no-returns category. For more information, please check the product’s return policy details on the product page.",Return
Why my return request is rejected?,"The return request may get rejected from the seller during the process of the request validation. For more details, please refer to the communications via SMS/Email you would have received when your return request was rejected or reach out to CS of Flipkart",Return
What i am getting charged for return? Can it be waived off?,"If your return requests are significantly higher than most customers, a return fee will apply to your order. This is levied to compensate sellers for the huge losses they incur as part of each return request. In case of an issue with the item, you can choose to exchange or replace it instead of returning it to avoid these fees. For more details, you can click 'Know more' beside the return fee information on the app at the time of creating a return request.
Please note return fees cannot be waived off",Return
Where can I find the seller's returns policy?,You can see the respective seller's Returns policy on the product page.,Return
I have requested for a return for my item. When will it happen?,"You can track the status of your return directly from your Flipkart account or mobile app by visiting the My Orders page, where you’ll find the return progress, pick-up date, and refund status if applicable. You will also receive email and SMS updates with all return-related details.",Return
What is the Flipkart return policy for cash on delivery?,"For cash-on-delivery orders, you will need to provide a bank account number to receive your refund. If you choose a replacement or exchange, an alternate product will be provided in place of the returned item.",Return
Why does WM deny for product pickup?,"Warehouse managers are required to perform specific checks based on the reason for return, and if any of these checks fail, they will refuse to pick up the product. You can ask them for the reason behind the pickup denial. To avoid such issues, make sure you raise the return request with the correct reason code and hand over the correct product during pickup.",Pickup
"My pickup is completed, when the refund will get processed?","It usually takes 24 hrs of time for the pickup status to get updated in the system, post which a refund is processed from seller end.",Pickup
Why have I been asked to ship the item?,"If pickup service is not available at your location, you may be asked to ship the item back to the seller. Since the seller can process a refund or replacement only after receiving the item, ensure that you send it to the address mentioned in the return-related email within 30 days of receiving it. The seller may be unable to proceed with the return request if the item does not reach the specified address within this timeframe.",Pickup
What are the checks done for an item that I'm returning?,"During pickup, your product will be checked to ensure it is the correct item with matching IMEI, name, image, brand, serial number, article number, or barcode, and that the MRP tag is intact and clearly visible. The product must be complete with all in-the-box accessories, freebies, and combos. It should also be unused, unwashed, and unsoiled, with no stains or tampered seals; for mobiles, laptops, or tablets, the device must be formatted, screen locks disabled, and iCloud deactivated for Apple devices. The item should be undamaged, including parts like SIM trays, ports, and panels, and the original packaging must also be intact. The field executive may refuse the pickup if any of these conditions are not met. Refunds, where applicable, are processed once the seller receives the returned product.",Pickup
"I have requested a replacement, when will I get it?",You can visit 'My Orders' section and tap the desired order to check the status of your replacement and pickup of the initially delivered product.,Pickup
Do i need to handover the packaging material along with the product during pickup?,"Packaging material will not be needed during the pickup. You will need to handover the Brand box, MRP tag and the Warranty card (If received with the product).",Pickup
Can I change the address for the pick-up the of item(s) in my order?,"Once a return is requested, the pickup address cannot be changed. You can cancel this return request and create a new one with the updated address.",Pickup
Can I reactivate my inactive Flipkart account?,"Yes. To reactivate your Flipkart account, simply log in with your registered email ID or mobile number/password combination used before deactivation. Your account data will be fully restored, default subscription settings applied.",Account
Do I need to verify my mobile number or email address every time I log in?,"As the verification step is a one time process, you won't have to do it again once your account is verified.",Account
What is an OTP or verification code?,"An OTP (One Time Password) or verification code is used to confirm your mobile number or email address when you log in to your Flipkart account for the first time. OTP verification is also required when creating an account, recovering a password, or updating your registered mobile number or email ID.",Account
Why do I need to verify my mobile number or email address to log into my Flipkart account?,"To make sure that your account details are always secure, verification by OTP (One Time Password) is important. This is a one-time process and you can log into your Flipkart account without any hassles once this is done.",Account
Can I use an international number to sign up?,"Yes, you can use an international number to sign up. This number can only be used for logging in and subscribing to order-related updates and confirmation details.",Account
How can I use my mobile number to login on the Flipkart mobile app?,"To log into the Flipkart mobile app, first update your mobile number from your Flipkart account on the website by going to My Account › Settings › Update Email/Mobile, adding your mobile number, entering the OTP sent to your registered number, and selecting Save Changes.",Account
What are the modes of refund available after cancellation?,"Refunds are processed through different modes depending on the payment method. For Cash on Delivery orders, refunds can be issued to a UPI account for amounts below ₹1000, to a Gift Card for amounts below ₹10,000, or to a bank account via IMPS/NEFT when bank details are provided. For prepaid orders, refunds are usually credited back to the original payment method such as a debit or credit card, NEFT, or UPI, and amounts below ₹10,000 may also be refunded to a Gift Card.",Refund
Why does it take time for the refund amount to be credited when it was already processed by Flipkart?,"Once the refund has been processed, the bank takes some time to reverse your initial transaction and complete the refund. However, the refund amount can be seen in your account within the time frame provided to you. Please contact your bank with the refund reference/UTR number in case you don't see the refund amount in your account after the specified timeframe.",Refund
Will I get a complete refund if the item is cancelled or returned if I have paid for the order using the 'Credit Card No Cost EMI' payment option?,"Yes, you will receive a full refund of any EMIs paid if the order is canceled or returned, though your bank may apply cancellation, refund, or pre-closure charges depending on its policies. Certain items cannot be canceled after 24 hours of placing the order or returned once delivered, so it’s important to review the seller’s cancellation and return policy on the product page.",Refund
Can I get the refund for the item to any other mode if I have paid using the Bajaj Finserv payment option?,"No, the refund for an order placed using the Bajaj Finserv payment mode can only be done to the bank account linked to the Bajaj Finserv EMI Network Card.",Refund
Can I get the refund for the item through any other mode if I have paid for my order using the 'Pre-approved EMI' payment option?,"No, the refund mode cannot be changed for an order that was paid for using SBI's 'Pre-approved EMI' payment option.",Refund
Can I get the refund for the item through any other mode if I have paid using the 'Credit Card No Cost EMI' payment option?,"No, the refund for an order placed using the 'Credit Card No Cost EMI' payment mode can only be done to the credit card from which the payment was made.",Refund
Where will the refunds for my order be credited?,"For payments made through cash or POS, you can choose to receive your refund through the PhonePe wallet or via NEFT/bank transfer by updating your bank account details. For payments made using any other method, the refund will be issued to the same payment source used during the purchase.",Refund
Why have I only received a part of the refund amount?,Refunds are processed item wise and you may see a part of the amount refunded while the remaining refund amount is still being processed.,Refund
How can I know the status of my refund?,"You can check the status of your refund in the My Orders section. For orders canceled before shipping, refunds are processed immediately, while for shipped orders, the refund is initiated as soon as the courier service provider confirms the return of the item.",Refund
What are the refund timelines if I cancel or return a product?,"Refund timelines vary based on the payment method. Debit and credit card refunds take 7–9 business days, netbanking takes 3–7 business days, and COD refunds via IMPS are processed within 1 business day. EMI refunds, including standard, no-cost, and debit card EMIs, take 7–9 business days. Flipkart Pay Later refunds are completed within 24 to 48 hours, Gift Card refunds within 24 hours, and PhonePe refunds vary as follows: PhonePe Wallet within 24 hours, PhonePe UPI within 1 business day, and PhonePe credit or debit card refunds within 7 business days. Refunds are always credited to the original payment source used, and COD payments are refunded through IMPS.",Refund
When are refunds provided for orders?,"You can receive a refund if you cancel a prepaid order within the applicable cancellation policy, return an eligible item, or if a replacement cannot be provided due to stock unavailability. Refunds are credited to the original payment source, except for Cash on Delivery orders, where you can choose the refund mode. You can track your refund status in the Orders section of your Flipkart account, and you will also receive timely updates via email and SMS.",Refund
I've still not received the refund in my bank account.,"If you’ve received an SMS confirming the refund, it means the refund has already been initiated. To check the credited amount, log in to your bank’s website or mobile app and review your statement from the refund initiation date, or contact your bank directly with the refund reference number (ARN/UTR) for an update.",Refund
What should I do if refund gets failed?,"If your refund has failed, please visit the 'Orders' page and tap the 'Update Bank Details' option to provide the correct account information. Make sure the account details are valid and active. Once updated, your refund will be processed immediately.",Refund
How can I identify the UPI details?,"Not to worry. If your order is prepaid, you can check the payment transaction source. If you have selected cash on delivery you can refer to the VPA ID they shared. The UPI app linked to that VPA ID will be the relevant one.",Refund
What does ARN number mean?,ARN/UTR/BRN number is the refund reference number provided by the respective bank as confirmation for receiving the refund amount.,Refund
How can I add bank account details?,"Not to worry. To add a bank account, you can manually enter your IFSC code or use the IFSC lookup option to auto-fill the bank, branch, and city details, then enter your active account number twice along with the account holder’s name and contact number and save the information. For Cash on Delivery refunds or failed refunds, simply go to Orders, select the relevant order, choose Update Bank Details, and add your account information.",Refund
How can I change/update my bank account details?,"The system will show you your previously saved bank details during refund processing. If you don’t want to use your previously saved bank account, you can always add a new one. However, the option of editing previously saved bank account details or deleting them is not available at the moment.",Refund
How do I upload a new bank statement for a resolved query?,"To upload a bank statement for a resolved query, go to your Flipkart account, open the Help Centre, select the specific order, and click on “Recent issues with this order” to upload your statement. Make sure the PDF file size is under 2MB.",Refund
How will I get my refund for returning an item I paid for with Cash on Delivery?,"In case of cash on delivery, you will have to provide a bank account number for the refund. Alternatively, you can also get the refund in the form of a Gift Card (upto Rs 10,000), or in your bank account by providing the UPI ID (limited to Rs 50,000)",Refund
When will the refund amount for my order(s) be processed?,"Refunds are processed at different stages depending on the reason. For cancellations before shipment, the refund is initiated immediately, while cancellations after shipment are refunded once the delivery partner confirms the item is being returned to the seller. For returns with a scheduled pickup, the refund is processed after the product is collected and reaches the seller, and if you are asked to ship the item back yourself, the refund is issued once the seller receives the returned product.",Refund
What is Flipkart's credit card EMI payment option?,"With Flipkart’s credit card EMI option, you can pay in easy installments of 3, 6, 9, 12, 18, or 24 months using credit cards from banks such as HDFC, Citi, ICICI, Kotak, Axis, IndusInd, SBI, Standard Chartered, and HSBC. The 18- and 24-month EMI tenures are available only with select banks. For these longer tenures, HDFC, Citi, and ICICI require a minimum order value of ₹10,000, while Kotak, Axis, IndusInd, and Standard Chartered require a minimum of ₹4,000. SBI and HSBC do not support the 18- or 24-month EMI option.",Payment
How does Flipkart prevent card fraud?,"Online payments are monitored by our systems for any suspicious activity and some transactions are verified through extensive checks if we find that they are not authorised by the owner of the card. When we're not able to rule fraud out in rare cases, the transaction is kept on hold and we ask the shopper to share relevant proofs. This is done to make sure that the transaction is genuine and authorised",Payment
Can I use any Debit Card to pay for my order?,"You can choose to pay for your order on Flipkart with any Visa, MasterCard or Maestro Debit Card.",Payment
Can I use the Cash on Delivery payment option for every product I buy on Flipkart?,"The availability of the Cash on Delivery option depends on factors such as your delivery pincode and the type of product. You can check if CoD is available for your location by entering your pincode on the product page. If it is supported for your area, you can place CoD orders for products priced up to ₹49,999.",Payment
How can I get the 3D Secure password for my Credit/Debit Card?,You can get a 3D Secure password by registering your Credit/Debit Card on your bank's website.,Payment
How can I pay with a saved Credit/Debit Card?,Your saved cards can be seen when you choose the credit or debit card option to pay for your order. Enter the CVV number of that card (we do not store it) and click on the 'Pay' button. You'll also have to enter the card's 3D Secure password to complete the transaction.,Payment
How does the 3D Secure password add security to my online transactions?,"The 3D Secure password is something that only you would know, ensuring no one else can use your card to shop online.",Payment
"If I have a saved card on Flipkart, will I be able to use a new card for my next payment?","Yes. Even if you've saved your card details on Flipkart, you always have the option to use any other credit/debit card to pay.",Payment
What is a 3D Secure password?,A 3D Secure password adds an extra layer of security through identity verification for your online Credit & Debit card transactions (VISA & MasterCard).,Payment
What is the amount I can shop for with Cash on Delivery payment option?,"You can shop up to Rs. 49,999 using Cash on Delivery (CoD) option.",Payment
Why is my card being saved on Flipkart?,"It's quicker. You can save the hassle of typing in the complete card information every time you shop on Flipkart by saving your card details. You can make your payment by selecting the saved card of your choice at checkout. While this is obviously faster, it is also very secure.",Payment
What all card information does Flipkart store?,"We only store your card number, cardholder name and card expiry date. We do not store your card's CVV number or the 3D secure password. Flipkart stores your card information only when you select the option.We only store your card number, cardholder name and card expiry date. We do not store your card's CVV number or the 3D secure password. Flipkart stores your card information only when you select the option.",Payment
Can I delete my saved cards?,"Yes, you can delete your saved cards at any given time.",Payment
How many cards can I save on Flipkart?,"As of now, you can save upto 10 cards using the 'Save Card' option.",Payment
What cards can I save on Flipkart?,"You can save any credit or debit VISA, MasterCard, Maestro or American Express card issued by a bank in India.",Payment
How do I save my card(s) on Flipkart?,"Your card is saved automatically when you make a successful payment by entering the card details while purchasing on Flipkart. Alternatively, you can also save your card by navigating to 'My Accounts > Payments > My Saved Cards'. To save the card you'll need the card number and the expiry date. You can also add a card label to better identify a saved card.",Payment
How do I make a payment using a saved card?,You can view your saved cards by selecting the credit/debit card payment option at checkout. Select a saved card that you wish to use to make the payment. Enter the CVV number of that card (we do not store it) and click the 'Pay' button to initiate your payment. You will also have to enter the card's 3D Secure password to complete the transaction.,Payment
"If I have a saved card on Flipkart, will I be able to use a new card for my next payment?","Yes. Even if you have saved your card on Flipkart, you always have the option to use any other credit/debit card for making a payment.",Payment
How can I delete my saved card?,You can delete your saved card information on Flipkart from the 'My Account' section. Go to 'My Account > Payments > My Saved Cards' and you will be able to see your saved card(s). You can then click on 'Remove this card'.,Payment
What are the pre-requisites for using the saved card feature?,"You should have a registered account with Flipkart to which you should be logged in. Due to security reasons, this feature is not available during guest checkout.",Payment
Can I use a saved card to make an EMI payment?,"Yes, if your saved credit card is eligible for your Bank's EMI program then you can use it for making an EMI payment.",Payment
I typed an incorrect card number by mistake when adding my card. How do I correct it?,"If you typed an incorrect card number, name or card expiry date, you need to first delete the entered details by clicking on ""Remove this card"" and then add the card again with the correct details.",Payment
Can I use my saved cards for making a payment on Flipkart's mobile site/app?,Absolutely! Any cards that you save on Flipkart's website can be used on Flipkart app and mobile site as well. You can also save cards through your mobile and use them on Flipkart's website.,Payment
What if I do not want my cards to be imported?,"You can manage these cards from the 'Saved Cards' section on PhonePe or Flipkart. If you wish to delete a card from both PhonePe and Flipkart, you need to perform this operation independently in both the applications.",Payment
Can I use Credit/Debit Card to pay on Flipkart through the Flipkart app?,"Yes, you can use your Debit/Credit Card to shop on our mobile app, website, and mobile site too!",Payment
Can I combine the balance on my Gift Cards with Cash on Delivery to pay for an order?,Cash on Delivery payments cannot be combined with other payments modes.,Payment
"I tried to make the payment for my Cash on Delivery order using 'pay now', but the payment failed, what should I do?",Any amount debited will be credited back to the original source of payment within 8 business days. You can pay with cash/card/UPI for your order at the time of delivery.,Payment
How can I convert my Cash on delivery order to a prepaid?,"On your app, go to the 'Orders' page and you will see an OTP next to your order. Please share the same with the delivery executive.",Payment
I have updated my payment mode for my order but have not received the OTP.,"If the order value is debited twice from your account, you can rest assured that the respective bank will ensure a refund is reflected in your account within eight business days. In case you do not receive a refund within this timeline, please contact the bank for assistance.",Payment
"My amount is debited twice for the order, what should I do?","If the order value is debited twice from your account, you can rest assured that the respective bank will ensure a refund is reflected in your account within eight business days. In case you do not receive a refund within this timeline, please contact the bank for assistance.",Payment
How can I pay for my order?,"You can conveniently pay for your order using Cash on Delivery, Net Banking, Gift Cards or Wallets, and Visa, MasterCard, Maestro, or American Express credit and debit cards issued in India and in 21 other countries. For more details about payment methods, you can visit: http://www.flipkart.com/s/help/payments.",Payment
How do I pay using a credit or debit card?,"You can choose the credit card or debit card payment option during the checkout process of your purchase. For a seamless payment process, please keep your card number, expiration date, and three-digit CVV number handy, which can be found on your card and enter them when requested.",Payment
"My amount has been debited but order has not been confirmed, what should I do?","It may take up to 2 hours for your order confirmation message to arrive via email or SMS. If the order-related transaction is unsuccessful, you will get a refund confirmation and the amount will be credited to the payment source within 8 business days.",Payment
What is Flipkart EMI?,"Flipkart EMI is a simple, convenient and hassle-free way to shop on Flipkart whenever you want and pay later in easy monthly installments. Instead of paying the full amount upfront, you can split your payment and repay it over the time. The total you spend will be shown as a loan in your credit report.",EMI
Who can use Flipkart EMI?,"This EMI facility is currently available to only a selected set of customers. However, we are continuously looking to expand this offering to newer customers. Keep visiting & shopping on Flipkart to know more.",EMI
What are the benefits of Flipkart EMI?,"Flipkart EMI makes shopping easier and more affordable by offering a quick and smooth checkout experience, small monthly payments instead of paying the full amount upfront, clear billing with no hidden fees, flexible repayment tenures, and No Cost EMI options from select sellers and brands based on applicable terms and conditions.",EMI
How can I place an order using Flipkart EMI on Flipkart?,"To place an order, simply add the items to your cart, proceed to checkout, and choose Flipkart EMI as your payment method before selecting your preferred EMI plan. You may be asked to enter an OTP to complete the transaction, which serves as an additional verification step for certain orders to ensure enhanced security.",EMI
Why can't I see Flipkart EMI for some products?,"Flipkart EMI is only available for certain product categories, as per the lender’s rules. It is not offered on items like Gift Cards, Gold & Jewelry, Grocery, and some Quick purchase products.",EMI
"Is Flipkart EMI available for Grocery, Minutes and Travel, Recharge and Bill payments?","No, Flipkart EMI is not available for Grocery, Minutes, Travel, Recharge and Bill payments.",EMI
What is a KFS?,"KFS stands for Key Fact Statement. It’s a simple and transparent document that gives you all the important details about your loan, like the loan amount, interest rate, fees, repayment plan, and other terms.",EMI
What is KFS Statement?,"A KFS statement, or Key Fact Statement, is a short, standardized document provided by banks or financial institutions that clearly outlines the important terms and conditions of a loan or credit product in a simple, easy-to-understand format to ensure transparency and help customers make informed decisions. It typically includes details such as the loan amount, interest rate, tenure, EMI amount, processing fees, late payment charges, foreclosure or prepayment terms, and the total cost of the loan.",EMI
How do I raise a grievance regarding a discrepancy in my CIBIL report?,"If you find any errors or discrepancies in your CIBIL Credit Information Report, you can raise a dispute directly with TransUnion CIBIL. Before doing so, ensure you note down your ECN (Enquiry Control Number) from your report, as it is often required during the dispute process. You can raise a dispute here: https://www.cibil.com/contact-us-faq.",EMI
